Id,Label,modularity_class,Weighted Degree,Degree,componentnumber,stat_inf_class,clustering,triangles,eigencentrality
lounge,lounge,1,33,13,0,26,0.448718,35,0.068289
indie anthem-folk,indie anthem-folk,1,10,5,0,47,1,10,0.057167
aussietronica,aussietronica,5,1,1,0,35,0,0,0.001608
melbourne bounce,melbourne bounce,5,2,2,0,35,0,0,0.012745
swedish synthpop,swedish synthpop,1,6,6,0,23,0.533333,8,0.037113
australian electropop,australian electropop,1,8,8,0,23,0.678571,19,0.062563
australian indie,australian indie,1,13,11,0,23,0.745455,41,0.090656
swing,swing,1,12,6,0,26,1,15,0.042792
k-pop,k-pop,1,112,40,0,28,0.561404,416,0.258505
viral trap,viral trap,1,14,7,0,13,1,21,0.060146
k-pop boy group,k-pop boy group,1,78,29,0,13,0.662562,269,0.210784
modern reggae,modern reggae,1,16,14,0,15,0.945055,86,0.112135
reggae,reggae,2,13,12,0,15,0.924242,61,0.086884
roots reggae,roots reggae,2,13,12,0,19,0.924242,61,0.086884
indie soul,indie soul,1,6,6,0,34,1,15,0.057096
afro house,afro house,1,13,13,0,22,0.692308,54,0.100301
kwaito house,kwaito house,1,13,13,0,22,0.692308,54,0.100301
teen pop,teen pop,1,22,7,0,17,1,21,0.069497
drill,drill,1,35,12,0,34,1,66,0.102813
vapor trap,vapor trap,1,278,36,0,22,0.754622,449,0.242018
nyc rap,nyc rap,1,9,7,0,45,0.904762,19,0.055776
album rock,album rock,6,23,10,0,20,0.488889,22,0.056477
experimental rock,experimental rock,6,27,9,0,20,0.472222,17,0.019445
art rock,art rock,6,13,5,0,20,0.6,6,0.011964
classic rock,classic rock,6,23,12,0,20,0.515152,34,0.080708
folk rock,folk rock,6,9,3,0,20,0.666667,2,0.005574
mellow gold,mellow gold,6,11,5,0,20,0.4,4,0.024153
psychedelic rock,psychedelic rock,6,9,3,0,20,0.666667,2,0.005574
experimental,experimental,6,24,8,0,20,0.357143,10,0.017497
experimental pop,experimental pop,6,26,10,0,20,0.311111,14,0.038291
country dawn,country dawn,1,14,8,0,26,0.75,21,0.059921
liquid funk,liquid funk,1,44,16,0,24,0.8,96,0.123438
panamanian pop,panamanian pop,2,192,16,0,3,0.933333,112,0.080463
bedroom pop,bedroom pop,1,9,9,0,4,0.611111,22,0.055549
vapor pop,vapor pop,1,5,5,0,4,0.8,8,0.044281
texas country,texas country,1,31,13,0,4,0.820513,64,0.098075
chicago indie,chicago indie,1,5,5,0,45,1,10,0.049259
post-romantic era,post-romantic era,1,3,1,0,17,0,0,0.002058
soundtrack,soundtrack,1,20,7,0,17,0.428571,9,0.055176
ukrainian classical,ukrainian classical,1,3,1,0,17,0,0,0.002058
bmore,bmore,1,131,36,0,8,0.615873,388,0.256244
ninja,ninja,1,131,36,0,8,0.615873,388,0.256244
heartland rock,heartland rock,1,2,2,0,26,1,1,0.018579
soft rock,soft rock,1,6,3,0,26,1,3,0.022479
canadian country,canadian country,1,9,3,0,26,1,3,0.012463
crunk,crunk,1,28,14,0,25,0.934066,85,0.125729
bboy,bboy,1,4,4,0,31,0.333333,2,0.026592
new french touch,new french touch,1,4,4,0,31,0,0,0.007049
funk,funk,1,4,4,0,31,0.333333,2,0.026592
instrumental funk,instrumental funk,1,4,4,0,31,0.333333,2,0.026592
modern funk,modern funk,1,4,4,0,31,0.333333,2,0.026592
swedish tropical house,swedish tropical house,1,7,7,0,20,0.857143,18,0.059454
dominican pop,dominican pop,2,16,6,0,3,1,15,0.04086
nigerian hip hop,nigerian hip hop,1,60,24,0,16,0.887681,245,0.208118
nigerian pop,nigerian pop,1,60,24,0,16,0.887681,245,0.208118
classical tenor,classical tenor,1,2,2,0,33,1,1,0.022121
italian tenor,italian tenor,1,2,2,0,33,1,1,0.022121
operatic pop,operatic pop,1,2,2,0,33,1,1,0.022121
hardcore hip hop,hardcore hip hop,1,382,25,0,45,0.793478,219,0.171722
show tunes,show tunes,1,72,9,0,20,0.821429,23,0.040267
trap argentino,trap argentino,2,296,26,0,3,0.693333,208,0.128827
argentine hip hop,argentine hip hop,2,129,21,0,3,0.721053,137,0.108159
italian hip hop,italian hip hop,7,113,24,0,31,0.422925,107,0.131373
german cloud rap,german cloud rap,3,35,14,0,43,0.461538,36,0.050879
movie tunes,movie tunes,1,25,6,0,20,1,15,0.034837
cali rap,cali rap,1,196,39,0,22,0.598862,421,0.242668
k-pop girl group,k-pop girl group,1,27,11,0,28,0.8,36,0.074361
broadway,broadway,1,17,6,0,20,1,15,0.034837
electronica,electronica,1,24,10,0,21,1,45,0.096495
uk alternative pop,uk alternative pop,1,41,23,0,25,0.794466,201,0.195839
soul,soul,1,19,9,0,26,0.888889,32,0.07167
south african hip hop,south african hip hop,1,19,10,0,38,0.955556,43,0.088516
italian underground hip hop,italian underground hip hop,7,31,9,0,31,0.75,21,0.019282
ghanaian hip hop,ghanaian hip hop,1,25,15,0,24,0.885714,93,0.135672
swedish dancehall,swedish dancehall,1,25,15,0,23,0.885714,93,0.135672
rap rock,rap rock,1,28,15,0,1,0.8,84,0.116982
outlaw country,outlaw country,1,12,4,0,33,1,6,0.047371
destroy techno,destroy techno,1,9,3,0,13,0.666667,2,0.026517
pop catracho,pop catracho,2,6,3,0,3,1,3,0.021549
disco,disco,1,4,2,0,26,1,1,0.007853
jazz funk,jazz funk,1,4,2,0,26,1,1,0.007853
jazz guitar,jazz guitar,1,4,2,0,26,1,1,0.007853
motown,motown,1,4,2,0,26,1,1,0.007853
quiet storm,quiet storm,1,4,2,0,26,1,1,0.007853
smooth jazz,smooth jazz,1,15,11,0,26,0.890909,49,0.088554
soul jazz,soul jazz,1,4,2,0,26,1,1,0.007853
yacht rock,yacht rock,1,4,2,0,26,1,1,0.007853
future house,future house,1,24,14,0,12,0.901099,82,0.116275
europop,europop,1,42,13,0,47,0.769231,60,0.094633
dutch hip hop,dutch hip hop,2,26,18,0,46,0.852941,116,0.126075
video game music,video game music,1,36,22,0,28,0.744589,172,0.165193
rap sardegna,rap sardegna,7,16,7,0,31,0.666667,14,0.017529
glam rock,glam rock,6,20,9,0,20,0.464286,13,0.018774
french hip hop,french hip hop,3,23,12,0,43,0.454545,25,0.045087
pop urbaine,pop urbaine,3,22,11,0,43,0.488889,22,0.043465
rap marseille,rap marseille,3,5,4,0,43,1,6,0.031786
alabama rap,alabama rap,1,12,9,0,18,0.944444,34,0.077105
chicago drill,chicago drill,1,10,8,0,34,1,28,0.06999
funk ostentacao,funk ostentacao,2,18,8,0,44,0.619048,13,0.022478
trance,trance,1,38,20,0,48,0.942105,179,0.174949
milan indie,milan indie,7,2,1,0,31,0,0,0.003002
rap tunisien,rap tunisien,7,2,1,0,31,0,0,0.003002
pop argentino,pop argentino,1,17,14,0,3,0.879121,80,0.126948
detroit trap,detroit trap,1,4,4,0,43,1,6,0.034939
albanian hip hop,albanian hip hop,3,17,11,0,43,0.711111,32,0.052486
modern salsa,modern salsa,2,4,4,0,33,1,6,0.034838
salsa,salsa,2,4,4,0,33,1,6,0.034838
kosovan pop,kosovan pop,3,19,9,0,43,0.821429,23,0.048781
birmingham grime,birmingham grime,1,12,6,0,21,1,15,0.063006
instrumental grime,instrumental grime,1,24,11,0,20,0.981818,54,0.091763
eurodance,eurodance,1,12,8,0,47,1,28,0.077219
italo dance,italo dance,1,4,2,0,35,1,1,0.022394
afrofuturism,afrofuturism,1,6,6,0,21,1,15,0.063006
trip hop,trip hop,1,6,6,0,21,1,15,0.063006
german pop,german pop,3,10,4,0,43,0.5,3,0.008931
ritmo kombina,ritmo kombina,2,6,6,0,44,0.933333,14,0.034814
houston rap,houston rap,1,24,16,0,34,1,120,0.14678
battle rap,battle rap,1,5,5,0,1,1,10,0.052045
italian alternative,italian alternative,7,7,4,0,31,1,6,0.008266
italian pop,italian pop,7,7,4,0,31,1,6,0.008266
rap napoletano,rap napoletano,7,16,4,0,31,1,6,0.008266
dance rock,dance rock,6,4,2,0,20,1,1,0.00639
protopunk,protopunk,6,4,2,0,20,1,1,0.00639
schweizer rap,schweizer rap,2,6,3,0,31,1,3,0.021044
nc hip hop,nc hip hop,1,197,28,0,22,0.809117,284,0.198039
norwegian indie,norwegian indie,1,7,7,0,20,1,21,0.069206
meme rap,meme rap,1,32,13,0,22,0.923077,72,0.085915
uk drill,uk drill,1,5,5,0,19,1,10,0.050187
pagode,pagode,2,4,2,0,44,0,0,0.003364
sertanejo pop,sertanejo pop,2,5,4,0,44,0.5,3,0.012431
sertanejo universitario,sertanejo universitario,2,6,5,0,44,0.5,5,0.018929
funk bh,funk bh,2,4,2,0,44,1,1,0.006757
west coast trap,west coast trap,1,4,4,0,22,0.5,3,0.013534
south african pop,south african pop,1,4,4,0,22,0.666667,4,0.023335
oklahoma country,oklahoma country,1,14,7,0,47,0.714286,15,0.060173
chillwave,chillwave,1,2,2,0,13,1,1,0.020794
shimmer pop,shimmer pop,1,5,4,0,4,0.833333,5,0.032088
boston hip hop,boston hip hop,1,13,7,0,37,1,21,0.056988
jump blues,jump blues,1,3,3,0,38,1,3,0.030329
vocal jazz,vocal jazz,1,3,3,0,38,1,3,0.030329
comedy rap,comedy rap,1,5,5,0,39,1,10,0.060833
zimdancehall,zimdancehall,1,18,9,0,33,1,36,0.08685
cumbia,cumbia,2,20,9,0,3,1,36,0.05664
latin alternative,latin alternative,2,20,9,0,3,1,36,0.05664
latin rock,latin rock,2,20,9,0,3,1,36,0.05664
r&b en espanol,r&b en espanol,2,160,20,0,3,0.768421,146,0.095773
sudanese pop,sudanese pop,1,71,17,0,22,0.926471,126,0.123886
trap italiana,trap italiana,7,30,8,0,31,0.857143,18,0.013115
vocal house,vocal house,1,34,7,0,17,1,21,0.075092
melodic dubstep,melodic dubstep,1,24,6,0,9,1,15,0.067442
emo,emo,1,26,13,0,49,0.923077,72,0.123412
pop house,pop house,1,12,8,0,17,0.809524,17,0.061606
colombian hip hop,colombian hip hop,2,19,10,0,15,0.977778,44,0.059251
country rap,country rap,1,22,14,0,26,0.736264,67,0.100386
birmingham metal,birmingham metal,1,8,3,0,48,1,3,0.025935
hard rock,hard rock,1,8,3,0,48,1,3,0.025935
metal,metal,1,8,3,0,48,1,3,0.025935
baroque pop,baroque pop,1,8,3,0,11,1,3,0.039877
german underground rap,german underground rap,3,10,3,0,43,1,3,0.006784
british indie rock,british indie rock,1,18,11,0,4,0.872727,48,0.097339
rap dominicano,rap dominicano,2,24,15,0,41,0.914286,96,0.133082
dutch urban,dutch urban,2,22,15,0,46,0.971429,102,0.120367
salsa choke,salsa choke,2,13,7,0,3,1,21,0.04672
dark trap,dark trap,1,2,1,0,42,0,0,0.013173
pop punk,pop punk,1,18,11,0,49,0.909091,50,0.098162
rap conscient,rap conscient,3,8,6,0,43,0.8,8,0.008925
dembow,dembow,1,16,12,0,24,0.984848,65,0.113742
afrobeat,afrobeat,1,12,9,0,21,1,36,0.097055
malian blues,malian blues,1,12,9,0,21,1,36,0.097055
mande pop,mande pop,1,12,9,0,21,1,36,0.097055
wassoulou,wassoulou,1,12,9,0,21,1,36,0.097055
world,world,1,12,9,0,21,1,36,0.097055
venezuelan hip hop,venezuelan hip hop,2,7,5,0,3,1,10,0.03426
brega funk,brega funk,2,5,4,0,44,0.833333,5,0.01251
rock en espanol,rock en espanol,2,5,3,0,33,1,3,0.023716
smooth saxophone,smooth saxophone,1,11,10,0,45,0.933333,42,0.084602
trap brasileiro,trap brasileiro,2,10,7,0,31,1,21,0.043694
blues rock,blues rock,1,10,7,0,22,1,21,0.068744
mexican classic rock,mexican classic rock,1,10,7,0,22,1,21,0.068744
deep talent show,deep talent show,1,7,7,0,24,0.952381,20,0.06032
finnish pop,finnish pop,1,7,7,0,18,0.857143,18,0.059181
bubblegum dance,bubblegum dance,1,8,8,0,47,1,28,0.077219
neo-synthpop,neo-synthpop,1,3,3,0,4,0.666667,2,0.025921
gospel,gospel,1,2,2,0,45,1,1,0.018739
trap espanol,trap espanol,2,6,6,0,48,0.7,7,0.013426
belgian hip hop,belgian hip hop,3,3,3,0,43,1,3,0.00573
k-hop,k-hop,2,9,9,0,26,0.638889,23,0.053232
la indie,la indie,1,3,3,0,42,1,3,0.036436
minnesota hip hop,minnesota hip hop,1,3,3,0,11,1,3,0.039877
regional mexican pop,regional mexican pop,2,4,4,0,3,1,6,0.027962
turkish hip hop,turkish hip hop,3,3,3,0,43,0.333333,1,0.008734
turkish trap,turkish trap,3,3,3,0,43,0.333333,1,0.008734
forro,forro,2,3,3,0,44,1,3,0.010898
classic arab pop,classic arab pop,1,6,6,0,43,1,15,0.060595
rai,rai,1,6,6,0,43,1,15,0.060595
baton rouge rap,baton rouge rap,1,2,2,0,45,1,1,0.014239
german trap,german trap,3,2,2,0,43,1,1,0.005227
singer-songwriter,singer-songwriter,1,2,2,0,13,1,1,0.020794
rap francais,rap francais,3,2,2,0,43,1,1,0.004086
musica canaria,musica canaria,2,3,3,0,3,1,3,0.020062
chicago house,chicago house,1,1,1,0,31,0,0,0.002593
reggaeton chileno,reggaeton chileno,2,2,2,0,48,1,1,0.003938
trap chileno,trap chileno,2,2,2,0,48,1,1,0.003938
indie rock,indie rock,1,5,5,0,45,1,10,0.049259
washington indie,washington indie,1,5,5,0,45,1,10,0.049259
r&b argentino,r&b argentino,2,2,2,0,3,1,1,0.005761
